127.0.0.1 - - [06/Jul/2023:16:54:57 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/css/myapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/js/productsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/js/myapp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:09 +0000] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:10 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:10 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:10 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:10 +0000] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:10 +0000] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:10 +0000] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:10 +0000] "GET /medicare/resources/images/PRD73B46CAF68.jpg HTTP/1.1" 200 9083
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:10 +0000] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:16:56:10 +0000] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:17:13:05 +0000] "GET /medicare/cart/checkout?execution=e1s2&_eventId_pay/book:apikey/PMAK-64a414ad00cbca0038de886b-1d28697c3c68a5a19cdb41d1b31b75248c HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2023:17:13:05 +0000] "GET /medicare/login HTTP/1.1" 200 3923
